,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,coordinates,latitude,longitude
0,0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,"12.8441489, 77.6793813",12.8441489,77.6793813
1,1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,"12.8967455, 77.86674160000001",12.8967455,77.86674160000001
2,2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0,"12.9069823, 77.552059",12.9069823,77.552059
3,3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,"12.8743581, 77.513787",12.8743581,77.513787
4,4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,51.0,"13.0551932, 77.6422206",13.0551932,77.6422206
5,5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,"12.9698196, 77.7499721",12.9698196,77.7499721
6,6,Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,,204.0,"12.9547331, 77.6837614",12.9547331,77.6837614
7,7,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,,600.0,"12.9981732, 77.55304459999999",12.9981732,77.55304459999999
8,8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3.0,1.0,63.25,"12.956924, 77.701127",12.956924,77.701127
9,9,Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6.0,,370.0,"12.9455888, 77.5712556",12.9455888,77.5712556
10,10,Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,2.0,70.0,"12.9698196, 77.7499721",12.9698196,77.7499721
11,11,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,"12.9698196, 77.7499721",12.9698196,77.7499721
12,12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,"12.8978624, 77.58450839999999",12.8978624,77.58450839999999
13,13,Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,2.0,40.0,"12.856443, 77.58884479999999",12.856443,77.58884479999999
14,14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,"12.8575579, 77.7864057",12.8575579,77.7864057
15,15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,"12.910397, 77.484109",12.910397,77.484109
16,16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,"13.2292777, 77.5461785",13.2292777,77.5461785
17,17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,"12.9148603, 77.5206395",12.9148603,77.5206395
18,18,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,"13.0445612, 77.57268839999999",13.0445612,77.57268839999999
19,19,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2.0,2.0,48.0,"13.0448306, 77.62210910000002",13.0448306,77.62210910000002
20,20,Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,1.0,15.0,"12.8996676, 77.4826837",12.8996676,77.4826837
21,21,Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,"12.967566, 77.5583595",12.967566,77.5583595
22,22,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,"13.0559193, 77.6324513",13.0559193,77.6324513
23,23,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3.0,1.0,103.0,"12.9304278, 77.678404",12.9304278,77.678404
24,24,Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,"13.0559193, 77.6324513",13.0559193,77.6324513
25,25,Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3.0,2.0,56.0,"12.9027471, 77.6349979",12.9027471,77.6349979
26,26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,"12.8452145, 77.6601695",12.8452145,77.6601695
27,27,Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3.0,2.0,81.0,"12.9698196, 77.7499721",12.9698196,77.7499721
28,28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,"12.9558171, 77.7409162",12.9558171,77.7409162
29,29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,"12.8452145, 77.6601695",12.8452145,77.6601695
30,30,Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,"13.1154662, 77.6069977",13.1154662,77.6069977
31,31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,"13.2292777, 77.5461785",13.2292777,77.5461785
32,32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,"13.0353557, 77.59878739999999",13.0353557,77.59878739999999
