Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Profit,Outlet_Type_LE,Fat_Low Fat,Fat_Regular,Outlet_Size_Ord,Outlet_Location_FreqEnc,Item_Fat_TargetEnc,Item_MRP_std,Sales_mm,Sales_log,Sales_exp,Years_Since_Establishment
9.3,Low Fat,0.016047301,Dairy,249.8,1999,Medium,Tier 2,Supermarket Type1,3735.138,11.5,1,True,False,1.0,0.5879385193007157,2157.711533985862,1.7476849881495353,0.2835866571457717,8.225807736568045,3735.138000000002,26
5.92,Regular,0.019278216,Soft Drinks,48.3,2009,Medium,Tier 2,Supermarket Type2,443.4228,14.3,2,False,True,1.0,0.5879385193007157,2224.561170126414,-1.4890316061744002,0.031418953381617876,6.096776361579924,443.4227999999998,16
17.5,Low Fat,0.016760075,Meat,141.6,1999,Medium,Tier 2,Supermarket Type1,2097.27,14.5,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.009656524100652746,0.1581148627971029,7.648868474670161,2097.27,26
19.2,Regular,0.0,Fruits and Vegetables,182.1,1998,Medium,Tier 2,Grocery Store,732.38,13.6,0,False,True,1.0,0.5879385193007157,2224.561170126414,0.6602124648952898,0.053555034173212286,6.597663985017227,732.3800000000002,27
8.93,Low Fat,0.0,Household,53.9,1987,High,Tier 3,Supermarket Type1,994.7052,14.1,1,True,False,2.0,0.10935116742930893,2157.711533985862,-1.3990781921385984,0.07365092318677956,6.903451229836965,994.7052000000001,38
10.395,Regular,0.0,Baking Goods,51.4,2009,Medium,Tier 2,Supermarket Type2,556.6088,9.5,2,False,True,1.0,0.5879385193007157,2224.561170126414,-1.439235966261724,0.04008976843823319,6.3236576412443055,556.6087999999997,16
13.65,Regular,0.012741089,Snack Foods,57.7,1987,High,Tier 3,Supermarket Type1,343.5528,8.8,1,False,True,2.0,0.10935116742930893,2224.561170126414,-1.3380383754714473,0.02376823421401612,5.842247344312063,343.55279999999993,38
11.676739773604321,Low Fat,0.127469857,Snack Foods,107.8,1985,Medium,Tier 2,Supermarket Type3,4022.7636,13.3,3,True,False,1.0,0.5879385193007157,2157.711533985862,-0.5332765820440073,0.30562072834846477,8.299972962538963,4022.763600000004,40
16.2,Regular,0.016687114,Frozen Foods,97.0,2002,Medium,Tier 2,Supermarket Type1,1076.5986,13.0,1,False,True,1.0,0.5879385193007157,2224.561170126414,-0.7067581662559105,0.079924512904213,6.9824903259119395,1076.5985999999996,23
19.2,Regular,0.09444959,Frozen Foods,187.8,2007,Medium,  --,Supermarket Type1,4710.535,13.6,1,False,True,1.0,0.012788924087762525,2224.561170126414,0.7517721898960168,0.3583086810160155,8.457769036251289,4710.534999999999,18
11.8,Low Fat,0.0,Fruits and Vegetables,45.5,1999,Medium,Tier 2,Supermarket Type1,1516.0266,14.3,1,True,False,1.0,0.5879385193007157,2157.711533985862,-1.534008313192301,0.11358767724166072,7.3245075138025815,1516.0266000000001,26
18.5,Regular,0.045463773,Dairy,144.1,1997,Small,Tier1,Supermarket Type1,2187.153,14.3,1,False,True,0.0,0.2801830341429074,2224.561170126414,0.049814298223778496,0.16500051004794447,7.690813087970959,2187.152999999999,28
15.1,Regular,0.1000135,Fruits and Vegetables,145.5,1999,Medium,Tier 2,Supermarket Type1,1589.2646,14.6,1,False,True,1.0,0.5879385193007157,2224.561170126414,0.072302651732729,0.11919820463123534,7.371655696463161,1589.2646000000007,26
17.6,Regular,0.047257328,Snack Foods,119.7,1997,Small,Tier1,Supermarket Type1,2145.2076,14.1,1,False,True,0.0,0.2801830341429074,2224.561170126414,-0.3421255772179287,0.16178720799755178,7.671457656629242,2145.2076000000006,28
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4,1987,High,Tier 3,Supermarket Type1,1977.426,13.5,1,True,False,2.0,0.10935116742930893,2157.711533985862,0.8899149328795694,0.14893399979598082,7.590056858053727,1977.4260000000006,38
9.0,Regular,0.069088961,Breakfast,56.4,1997,Small,Tier1,Supermarket Type1,1547.3192,13.0,1,False,True,0.0,0.2801830341429074,2224.561170126414,-1.3589204180154726,0.1159849025808426,7.344925234443442,1547.3192,28
11.8,Low Fat,0.008596051,Health and Hygiene,115.3,2009,Medium,Tier 2,Supermarket Type2,1621.8888,8.6,2,True,False,1.0,0.5879385193007157,2157.711533985862,-0.41280325967463005,0.12169743955931858,7.391963050071823,1621.8888000000002,16
